img_name,mos,comments
j00zs3u6dr,5.604438781738281,Nice Image
ytv70so3zb,5.599583148956299,Nice Image
ia9890oozp,5.60003662109375,Nice Image
xsj81ypx4a,5.594668865203857,Nice Image
f23994ghlh,5.551520347595215,Nice Image
olzx3kqzij,5.59963321685791,Nice Image
pzhsjj4uxo,5.5996527671813965,Nice Image
2mb38w9n83,5.546924114227295,Nice Image
cz4tby7pfx,5.599197864532471,Nice Image
8099bltbox,5.601056098937988,Nice Image
4fxgmbki70,5.537627696990967,Nice Image
398sev5zra,5.599832534790039,Nice Image
397dr2njq3,5.578929424285889,Nice Image
8l24x7ueri,5.551263809204102,Nice Image
0payszbeft,5.584027290344238,Nice Image
5706ozsu0u,5.579293251037598,Nice Image
tvpgpvwu9y,5.602248668670654,Nice Image
0dwf6bs8mo,5.581412315368652,Nice Image
lzqw1192vq,5.609386920928955,Nice Image
1usse6jnw8,5.5981550216674805,Nice Image
3ys9jbc76z,5.535551071166992,Nice Image
6xk1cs5xvk,5.6028971672058105,Nice Image
6qahjxl52p,5.610666275024414,Nice Image
0c1d6e5u9i,5.602584362030029,Nice Image
854gp2f72r,5.594327926635742,Nice Image
jtfsyzka9g,5.5777764320373535,Nice Image
ak7flz7ynt,5.601534366607666,Nice Image
1pjnu9u1ej,5.521148681640625,Nice Image
79ve5uith4,5.5353288650512695,Nice Image
5azfddo3d4,5.5994977951049805,Nice Image
nr4su3ty9j,5.582113265991211,Nice Image
i5greo4ux6,5.54085111618042,Nice Image
yfee52jxux,5.613450050354004,Nice Image
bjua6xugqz,5.576642990112305,Nice Image
plpnsfpf09,5.599835395812988,Nice Image
k4gsnb1xa4,5.601698398590088,Nice Image
6d4gsnukds,5.617584705352783,Nice Image
grdtvyw6n6,5.599301815032959,Nice Image
cy08d3z2wl,5.5605621337890625,Nice Image
rx0t0rifvk,5.583400726318359,Nice Image
a1yrt4w3nf,5.602961540222168,Nice Image
n3o0h26ml5,5.601224422454834,Nice Image
bys6pi3exn,5.623563289642334,Nice Image
wq3h5st0re,5.600070953369141,Nice Image
9tw8hc454g,5.544513702392578,Nice Image
b2z46qc09u,5.566745281219482,Nice Image
sd2nq13rcs,5.590513706207275,Nice Image
kq961c1f1r,5.60003662109375,Nice Image
6isbnl5tdh,5.584096431732178,Nice Image
t2act0fcb4,5.601202964782715,Nice Image
awqndazx6z,5.601361274719238,Nice Image
9anuav2xm7,5.602820873260498,Nice Image
8hr88qoklj,5.565493106842041,Nice Image
3vlvyh3hrd,5.600775718688965,Nice Image
h7shfbc0mn,5.614678382873535,Nice Image
5bg9utxyyc,5.60199499130249,Nice Image
76ua0edhrs,5.610623836517334,Nice Image
4uy2zcnuih,5.580599308013916,Nice Image
c5t1epztmp,5.601515769958496,Nice Image
8kpr5ztkcf,5.600643157958984,Nice Image
73t0yxwwtp,5.600599765777588,Nice Image
i48qriyhl3,5.54180383682251,Nice Image
6p1vufbk8q,5.601168632507324,Nice Image
gz4u8comt9,5.60037899017334,Nice Image
b7r0ste60m,5.598560333251953,Nice Image
qezf1ks1ku,5.602203845977783,Nice Image
darbpjcjd2,5.598788738250732,Nice Image
nyecp5jvlt,5.600391387939453,Nice Image
r7cywbnc03,5.600529670715332,Nice Image
nzu64xel3v,5.619760036468506,Nice Image
zedakb2uuz,5.599776268005371,Nice Image
skbezapkue,5.568530559539795,Nice Image
kc90ulzlin,5.549754619598389,Nice Image
veqqdoo50l,5.5987749099731445,Nice Image
b1bc58vw6o,5.577577114105225,Nice Image
dqd4ga6cll,5.63463830947876,Nice Image
cd0nlkn40e,5.601820945739746,Nice Image
5cylynv9yk,5.58995246887207,Nice Image
bm1u93ng2t,5.5999436378479,Nice Image
t0b1nsfofl,5.600554466247559,Nice Image
dxxlp3xj5x,5.590841293334961,Nice Image
ny98uwxbsx,5.584547996520996,Nice Image
ox9xbno6i3,5.56995153427124,Nice Image
88j7visozp,5.566134452819824,Nice Image
ktg2yrq0e8,5.52557897567749,Nice Image
9gnb4t5vk6,5.548588275909424,Nice Image
tda3h6qm1e,5.602105140686035,Nice Image
8ph2by2gp9,5.369497299194336,Nice Image
2yu0w9z1u4,5.580733299255371,Nice Image
399nxdxvjg,5.608282089233398,Nice Image
at5ka9fq2t,5.5998334884643555,Nice Image
90s063gisb,5.585117340087891,Nice Image
1auz3gv47s,5.603158473968506,Nice Image
6cripww5xu,5.600621223449707,Nice Image
88v66x0m9j,5.600138187408447,Nice Image
4qvmfs6lo4,5.540651798248291,Nice Image
dk1avzcmul,5.602538108825684,Nice Image
fuliw54sbw,5.597405433654785,Nice Image
q0xr1n25by,5.6030707359313965,Nice Image
6bb83tgo94,5.56416654586792,Nice Image
bppgq13wf8,5.601973056793213,Nice Image
jvutb9v917,5.571654319763184,Nice Image
u9ffwkilfg,5.6026835441589355,Nice Image
isycie10g3,5.534282207489014,Nice Image
