img_name,mos,comments
j00zs3u6dr,6.08915472,y
ytv70so3zb,5.83963251,y
ia9890oozp,5.5422101,y
xsj81ypx4a,5.60016394,y
f23994ghlh,5.07447767,y
olzx3kqzij,5.46587086,y
pzhsjj4uxo,5.5702095,y
2mb38w9n83,5.8555932,y
cz4tby7pfx,5.84341335,y
8099bltbox,6.05205441,y
4fxgmbki70,5.70321608,y
398sev5zra,5.711833,y
397dr2njq3,5.76056147,y
8l24x7ueri,5.02290011,y
0payszbeft,6.12914658,y
5706ozsu0u,5.29153013,y
tvpgpvwu9y,4.80293655,y
0dwf6bs8mo,5.31595802,y
lzqw1192vq,5.75900078,y
1usse6jnw8,5.54492283,y
3ys9jbc76z,5.94381714,y
6xk1cs5xvk,6.00511217,y
6qahjxl52p,5.75879479,y
0c1d6e5u9i,5.69028282,y
854gp2f72r,5.92704773,y
jtfsyzka9g,5.87513495,y
ak7flz7ynt,4.69735432,y
1pjnu9u1ej,5.8493495,y
79ve5uith4,6.53469753,y
5azfddo3d4,5.56872273,y
nr4su3ty9j,6.30803537,y
i5greo4ux6,6.02962446,y
yfee52jxux,5.11445332,y
bjua6xugqz,5.86596727,y
plpnsfpf09,5.79846239,y
k4gsnb1xa4,6.06913328,y
6d4gsnukds,5.46353293,y
grdtvyw6n6,5.73354101,y
cy08d3z2wl,6.09389019,y
rx0t0rifvk,6.02030182,y
a1yrt4w3nf,5.44859314,y
n3o0h26ml5,5.77309752,y
bys6pi3exn,5.41040325,y
wq3h5st0re,5.75494242,y
9tw8hc454g,5.44615269,y
b2z46qc09u,6.25766659,y
sd2nq13rcs,6.51882124,y
kq961c1f1r,5.60213614,y
6isbnl5tdh,5.7294364,y
t2act0fcb4,4.95165062,y
awqndazx6z,5.5608263,y
9anuav2xm7,5.28751326,y
8hr88qoklj,6.18989229,y
3vlvyh3hrd,5.17496443,y
h7shfbc0mn,5.40773439,y
5bg9utxyyc,5.55267811,y
76ua0edhrs,5.70414257,y
4uy2zcnuih,5.07980061,y
c5t1epztmp,6.13154793,y
8kpr5ztkcf,5.92378044,y
73t0yxwwtp,5.73994875,y
i48qriyhl3,5.52220058,y
6p1vufbk8q,5.68922329,y
gz4u8comt9,4.8788209,y
b7r0ste60m,5.58683634,y
qezf1ks1ku,5.57889366,y
darbpjcjd2,5.86014748,y
nyecp5jvlt,6.33979464,y
r7cywbnc03,5.10582495,y
nzu64xel3v,5.63683224,y
zedakb2uuz,5.68965292,y
skbezapkue,5.75736952,y
kc90ulzlin,5.62078428,y
veqqdoo50l,5.29050016,y
b1bc58vw6o,5.43848658,y
dqd4ga6cll,5.42817593,y
cd0nlkn40e,5.23043823,y
5cylynv9yk,5.95979452,y
bm1u93ng2t,5.82932329,y
t0b1nsfofl,5.86291552,y
dxxlp3xj5x,5.3985281,y
ny98uwxbsx,5.86416483,y
ox9xbno6i3,5.9697156,y
88j7visozp,5.94738865,y
ktg2yrq0e8,5.51853609,y
9gnb4t5vk6,5.71707821,y
tda3h6qm1e,4.93672705,y
8ph2by2gp9,6.21111012,y
2yu0w9z1u4,5.79158592,y
399nxdxvjg,4.52958155,y
at5ka9fq2t,5.61765289,y
90s063gisb,5.85805368,y
1auz3gv47s,5.65350628,y
6cripww5xu,5.84225988,y
88v66x0m9j,5.20130777,y
4qvmfs6lo4,6.14028692,y
dk1avzcmul,5.78668833,y
fuliw54sbw,5.85228968,y
q0xr1n25by,6.00745344,y
6bb83tgo94,5.92975283,y
bppgq13wf8,5.6123271,y
jvutb9v917,5.74150181,y
u9ffwkilfg,5.19248962,y
isycie10g3,5.93198872,y
5q7dwg1wmr,6.18993378,y
iknjbzaguy,5.77706671,y
5jmf4s0u65,5.97422409,y
xqhn47sg4j,5.90086365,y
ufgxednrpn,5.60917759,y
gped2mm7er,6.01707506,y
o8nsjymb27,5.65508843,y
37oyd8ybf9,5.85197783,y
trhxo13or5,5.19763136,y
5hkav5iqbz,5.64605856,y
tmwcsn8xtb,5.44968414,y
4qe70qpxpi,5.4682827,y
4gz6uj4ouh,5.33216,y
bqavrw6xqo,5.01649571,y
nfud8o7kfy,5.60328436,y
wruhxy7tdf,5.48481226,y
semt6roia9,6.04295063,y
woast2vk2y,5.67971802,y
7xx9e84vsd,5.56077766,y
vefg431h7a,5.38618898,y
d59rmtpm63,5.7365613,y
3q2wffdqpk,5.93873549,y
cgg2rznh5v,5.47428608,y
